scheme_id,scheme_name,category,government,department,description,beneficiary,eligibility,benefits,required_documents,application_mode,official_link,status
MHAG011,Unified Farmer Services Platform (UFSP) Direct Benefit Relief,Direct Income Support & Institutional Agri-Credit,State,"Agriculture Department, Maharashtra",Government support for Unified Farmer Services Platform (UFSP) Direct Benefit Relief.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG012,Zero Collateral Institutional Production Credit Facility for Marginal Farmers,Direct Income Support & Institutional Agri-Credit,State,"Agriculture Department, Maharashtra",Government support for Zero Collateral Institutional Production Credit Facility for Marginal Farmers.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG013,Land Development Bank Long-Term Investment Loan Subsidy,Direct Income Support & Institutional Agri-Credit,State,"Agriculture Department, Maharashtra",Government support for Land Development Bank Long-Term Investment Loan Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG014,Primary Agricultural Credit Societies (PACS) Seasonal Crop Financing,Direct Income Support & Institutional Agri-Credit,State,"Agriculture Department, Maharashtra",Government support for Primary Agricultural Credit Societies (PACS) Seasonal Crop Financing.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG015,Maharashtra State Co-operative Bank Medium-Term Term Loan Framework,Direct Income Support & Institutional Agri-Credit,State,"Agriculture Department, Maharashtra",Government support for Maharashtra State Co-operative Bank Medium-Term Term Loan Framework.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG016,PMKSY Per Drop More Crop – Inline Drip Irrigation System (Small/Marginal),On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for PMKSY Per Drop More Crop – Inline Drip Irrigation System (Small/Marginal).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG017,PMKSY Per Drop More Crop – Online Drip Irrigation System (General Category),On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for PMKSY Per Drop More Crop – Online Drip Irrigation System (General Category).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG018,PMKSY Per Drop More Crop – Portable Sprinkler Irrigation Unit,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for PMKSY Per Drop More Crop – Portable Sprinkler Irrigation Unit.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG019,PMKSY Per Drop More Crop – Micro-Sprinkler Irrigation System,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for PMKSY Per Drop More Crop – Micro-Sprinkler Irrigation System.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG020,Chief Minister Sustainable Agriculture Irrigation Scheme – Micro-Irrigation Top-up Fund,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for Chief Minister Sustainable Agriculture Irrigation Scheme – Micro-Irrigation Top-up Fund.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG021,Magel Tyala Shettale – Individual Excavated Farm Pond Grant,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for Magel Tyala Shettale – Individual Excavated Farm Pond Grant.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG022,RKVY Component – High-Density Polyethylene (HDPE) Plastic Lining for Farm Ponds,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for RKVY Component – High-Density Polyethylene (HDPE) Plastic Lining for Farm Ponds.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG023,Subsidized Underground PVC Water Distribution Pipeline Scheme,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for Subsidized Underground PVC Water Distribution Pipeline Scheme.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG024,Community Farm Pond Framework with Shared Micro-Irrigation Network,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for Community Farm Pond Framework with Shared Micro-Irrigation Network.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG025,New Dug Well Construction Subsidy under State Planning,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for New Dug Well Construction Subsidy under State Planning.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG026,Borewell and Tube Well Exploratory Drilling Subsidy,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for Borewell and Tube Well Exploratory Drilling Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG027,Solar Powered Micro-Irrigation Community Lift System,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for Solar Powered Micro-Irrigation Community Lift System.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG028,Command Area Development (CADWM) Concrete Field Channel Construction,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for Command Area Development (CADWM) Concrete Field Channel Construction.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG029,Jalyukt Shivar Abhiyan 2.0 – Silt Excavation and Farmland Application Grant,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for Jalyukt Shivar Abhiyan 2.0 – Silt Excavation and Farmland Application Grant.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG030,State Lift Irrigation Cooperative Society Machinery Rehabilitation Subsidy,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for State Lift Irrigation Cooperative Society Machinery Rehabilitation Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG031,Rainwater Harvesting Recharge Pit Subsidy for Over-exploited Aquifers,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for Rainwater Harvesting Recharge Pit Subsidy for Over-exploited Aquifers.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG032,Check Dam and Cement Nala Bandhara Local Sluice Gate Funding,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for Check Dam and Cement Nala Bandhara Local Sluice Gate Funding.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG033,District Planning Committee (DPDC) Emergency Local Farm Pond Grants,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for District Planning Committee (DPDC) Emergency Local Farm Pond Grants.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG034,Community Water Storage Tank Subsidy for Hilly Terrains,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for Community Water Storage Tank Subsidy for Hilly Terrains.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG035,Subsidized Flexible HDPE Lay-flat Delivery Pipe Component,On-Farm Irrigation & Water Infrastructure Components,State,"Agriculture Department, Maharashtra",Government support for Subsidized Flexible HDPE Lay-flat Delivery Pipe Component.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG036,Sub-Mission on Farm Mechanization (SMAM) – Four-Wheel Tractor (Below 20 PTO HP),Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Sub-Mission on Farm Mechanization (SMAM) – Four-Wheel Tractor (Below 20 PTO HP).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG037,Sub-Mission on Farm Mechanization (SMAM) – Four-Wheel Tractor (20 to 50 PTO HP),Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Sub-Mission on Farm Mechanization (SMAM) – Four-Wheel Tractor (20 to 50 PTO HP).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG038,Sub-Mission on Farm Mechanization (SMAM) – Four-Wheel Tractor (Above 50 PTO HP),Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Sub-Mission on Farm Mechanization (SMAM) – Four-Wheel Tractor (Above 50 PTO HP).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG039,SMAM Component – Power Tiller (Below 8 BHP),Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for SMAM Component – Power Tiller (Below 8 BHP).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG040,SMAM Component – Power Tiller (8 BHP and Above),Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for SMAM Component – Power Tiller (8 BHP and Above).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG041,State Sponsored Mechanization Scheme – Tractor Operated Rotavator,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for State Sponsored Mechanization Scheme – Tractor Operated Rotavator.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG042,State Sponsored Mechanization Scheme – Power Weeder (Engine Operated),Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for State Sponsored Mechanization Scheme – Power Weeder (Engine Operated).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG043,Agriculture Drone Procurement Subsidy for Custom Hiring Centers (CHC),Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Agriculture Drone Procurement Subsidy for Custom Hiring Centers (CHC).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG044,Agriculture Drone Spraying Assistance Grant for Farmer Producer Organizations,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Agriculture Drone Spraying Assistance Grant for Farmer Producer Organizations.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG045,Tractor Operated Multi-Crop Seed-cum-Fertilizer Precision Drill,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Tractor Operated Multi-Crop Seed-cum-Fertilizer Precision Drill.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG046,Self-Propelled Vertical Conveyor Paddy Transplanter Subsidy,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Self-Propelled Vertical Conveyor Paddy Transplanter Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG047,Tractor Operated Pneumatic Row Planter Component,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Tractor Operated Pneumatic Row Planter Component.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG048,Laser Land Leveler Equipment Purchasing Subsidy,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Laser Land Leveler Equipment Purchasing Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG049,Multi-Crop Power Thresher (Engine/Tractor Operated),Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Multi-Crop Power Thresher (Engine/Tractor Operated).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG050,High-Capacity Combine Harvester Procurement Grant,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for High-Capacity Combine Harvester Procurement Grant.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG051,Solar-Powered Knapsack Spray Pump Subsidy,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Solar-Powered Knapsack Spray Pump Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG052,Battery-Operated Ergonomic Hand Sprayer Distribution Scheme,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Battery-Operated Ergonomic Hand Sprayer Distribution Scheme.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG053,Tractor Mounted Boom Sprayer Component Grant,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Tractor Mounted Boom Sprayer Component Grant.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG054,Power Driven Chaff Cutter Asset Subsidy,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Power Driven Chaff Cutter Asset Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG055,Straw Reaper and Post-Harvest Crop Residue Baler Unit,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Straw Reaper and Post-Harvest Crop Residue Baler Unit.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG056,Mini Paddy De-husking Rubber Roller Replacement Subsidy,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Mini Paddy De-husking Rubber Roller Replacement Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG057,Mobile Maize De-husker Sheller Machinery Grant,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Mobile Maize De-husker Sheller Machinery Grant.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG058,Manual and Ergonomic Toolkits for Registered Women Farmers,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Manual and Ergonomic Toolkits for Registered Women Farmers.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG059,Custom Hiring Center Machine Bank Setup Capital Grant,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Custom Hiring Center Machine Bank Setup Capital Grant.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG060,Village Level High-Tech Machinery Hub Entrepreneurship Subsidy,Farm Mechanization & Agri-Machinery Profiles,State,"Agriculture Department, Maharashtra",Government support for Village Level High-Tech Machinery Hub Entrepreneurship Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG061,Bhausaheb Fundkar Falbaag Lagvad Yojana – Mango Orchard Profile,Horticulture Crop Variants & Protected Farming,Central/State,Horticulture Department,Government support for Bhausaheb Fundkar Falbaag Lagvad Yojana – Mango Orchard Profile.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://midh.gov.in,Active
MHAG062,Bhausaheb Fundkar Falbaag Lagvad Yojana – Cashew Plantation Profile,Horticulture Crop Variants & Protected Farming,Central/State,Horticulture Department,Government support for Bhausaheb Fundkar Falbaag Lagvad Yojana – Cashew Plantation Profile.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://midh.gov.in,Active
MHAG063,Bhausaheb Fundkar Falbaag Lagvad Yojana – Pomegranate Orchard Profile,Horticulture Crop Variants & Protected Farming,Central/State,Horticulture Department,Government support for Bhausaheb Fundkar Falbaag Lagvad Yojana – Pomegranate Orchard Profile.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://midh.gov.in,Active
MHAG064,Bhausaheb Fundkar Falbaag Lagvad Yojana – Sweet Lime (Mosambi) Profile,Horticulture Crop Variants & Protected Farming,Central/State,Horticulture Department,Government support for Bhausaheb Fundkar Falbaag Lagvad Yojana – Sweet Lime (Mosambi) Profile.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://midh.gov.in,Active
MHAG065,Bhausaheb Fundkar Falbaag Lagvad Yojana – Mandarin Orange (Santra) Profile,Horticulture Crop Variants & Protected Farming,Central/State,Horticulture Department,Government support for Bhausaheb Fundkar Falbaag Lagvad Yojana – Mandarin Orange (Santra) Profile.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://midh.gov.in,Active
MHAG066,Kaju Kalam Vatap Yojana (High-Yielding Cashew Graft Distribution),Horticulture Crop Variants & Protected Farming,Central/State,Horticulture Department,Government support for Kaju Kalam Vatap Yojana (High-Yielding Cashew Graft Distribution).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://midh.gov.in,Active
MHAG067,Mission for Integrated Development of Horticulture (MIDH) – Naturally Ventilated Polyhouse,Horticulture Crop Variants & Protected Farming,Central/State,Horticulture Department,Government support for Mission for Integrated Development of Horticulture (MIDH) – Naturally Ventilated Polyhouse.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://midh.gov.in,Active
MHAG068,Mission for Integrated Development of Horticulture (MIDH) – Shade Net House Structure,Horticulture Crop Variants & Protected Farming,Central/State,Horticulture Department,Government support for Mission for Integrated Development of Horticulture (MIDH) – Shade Net House Structure.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://midh.gov.in,Active
